C101_050_blended_w0.6_0.4
====================================================================================
customer quantity: 50
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasible: True
solver runtime: 902.2870001792908
objective function value: 76678.55729255994
MIP gap: 0
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|0            |0.0          |0            |50.0         |40.0         |50.0        
|0            |16.553       |43           |50.0         |33.0         |35.0        
|0            |106.553      |43           |40.0         |33.0         |35.0        
|0            |109.553      |42           |40.0         |33.0         |32.0        
|0            |199.553      |42           |20.0         |33.0         |32.0        
|0            |201.553      |41           |20.0         |35.0         |32.0        
|0            |291.553      |41           |10.0         |35.0         |32.0        
|0            |321.0        |40           |10.0         |35.0         |30.0        
|0            |411.0        |40           |0.0          |35.0         |30.0        
|0            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|2            |0.0          |0            |190.0        |40.0         |50.0        
|2            |30.806       |13           |190.0        |22.0         |75.0        
|2            |120.806      |13           |160.0        |22.0         |75.0        
|2            |126.191      |15           |160.0        |20.0         |80.0        
|2            |216.191      |15           |120.0        |20.0         |80.0        
|2            |221.191      |19           |120.0        |15.0         |80.0        
|2            |311.191      |19           |110.0        |15.0         |80.0        
|2            |318.262      |16           |110.0        |20.0         |85.0        
|2            |408.262      |16           |70.0         |20.0         |85.0        
|2            |410.262      |14           |70.0         |22.0         |85.0        
|2            |500.262      |14           |60.0         |22.0         |85.0        
|2            |503.262      |12           |60.0         |25.0         |85.0        
|2            |593.262      |12           |40.0         |25.0         |85.0        
|2            |626.398      |22           |40.0         |28.0         |52.0        
|2            |716.398      |22           |20.0         |28.0         |52.0        
|2            |965.0        |21           |20.0         |30.0         |52.0        
|2            |1055.0       |21           |0.0          |30.0         |52.0        
|2            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|3            |0.0          |0            |90.0         |40.0         |50.0        
|3            |33.302       |17           |90.0         |18.0         |75.0        
|3            |123.302      |17           |70.0         |18.0         |75.0        
|3            |126.302      |18           |70.0         |15.0         |75.0        
|3            |216.302      |18           |50.0         |15.0         |75.0        
|3            |236.917      |30           |50.0         |20.0         |55.0        
|3            |326.917      |30           |40.0         |20.0         |55.0        
|3            |329.917      |28           |40.0         |23.0         |55.0        
|3            |419.917      |28           |20.0         |23.0         |55.0        
|3            |684.0        |26           |20.0         |25.0         |55.0        
|3            |774.0        |26           |10.0         |25.0         |55.0        
|3            |777.0        |23           |10.0         |28.0         |55.0        
|3            |867.0        |23           |0.0          |28.0         |55.0        
|3            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|6            |0.0          |0            |160.0        |40.0         |50.0        
|6            |15.133       |5            |160.0        |42.0         |65.0        
