C101_050_hierarchical
====================================================================================
customer quantity: 50
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasible: True
solver runtime: 901.664999961853
objective function value: 97940.43992748983
MIP gap: 0
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|2            |0.0          |0            |190.0        |40.0         |50.0        
|2            |13.0         |23           |190.0        |28.0         |55.0        
|2            |103.0        |23           |180.0        |28.0         |55.0        
|2            |360.717      |26           |180.0        |25.0         |55.0        
|2            |450.717      |26           |170.0        |25.0         |55.0        
|2            |452.717      |28           |170.0        |23.0         |55.0        
|2            |542.717      |28           |150.0        |23.0         |55.0        
|2            |545.717      |30           |150.0        |20.0         |55.0        
|2            |635.717      |30           |140.0        |20.0         |55.0        
|2            |651.338      |34           |140.0        |8.0          |45.0        
|2            |741.338      |34           |120.0        |8.0          |45.0        
|2            |744.338      |36           |120.0        |5.0          |45.0        
|2            |834.338      |36           |110.0        |5.0          |45.0        
|2            |840.169      |33           |110.0        |8.0          |40.0        
|2            |930.169      |33           |70.0         |8.0          |40.0        
|2            |932.169      |32           |70.0         |10.0         |40.0        
|2            |1022.169     |32           |40.0         |10.0         |40.0        
|2            |1043.802     |22           |40.0         |28.0         |52.0        
|2            |1133.802     |22           |20.0         |28.0         |52.0        
|2            |1135.802     |21           |20.0         |30.0         |52.0        
|2            |1225.802     |21           |0.0          |30.0         |52.0        
|2            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|7            |0.0          |0            |180.0        |40.0         |50.0        
|7            |10.0         |20           |180.0        |30.0         |50.0        
|7            |100.0        |20           |170.0        |30.0         |50.0        
|7            |105.0        |24           |170.0        |25.0         |50.0        
|7            |195.0        |24           |160.0        |25.0         |50.0        
|7            |197.0        |25           |160.0        |25.0         |52.0        
|7            |287.0        |25           |120.0        |25.0         |52.0        
|7            |289.0        |27           |120.0        |23.0         |52.0        
|7            |379.0        |27           |110.0        |23.0         |52.0        
|7            |382.606      |29           |110.0        |20.0         |50.0        
|7            |472.606      |29           |100.0        |20.0         |50.0        
|7            |490.633      |31           |100.0        |10.0         |35.0        
|7            |580.633      |31           |80.0         |10.0         |35.0        
|7            |585.633      |35           |80.0         |5.0          |35.0        
|7            |675.633      |35           |70.0         |5.0          |35.0        
|7            |681.464      |37           |70.0         |2.0          |40.0        
|7            |771.464      |37           |50.0         |2.0          |40.0        
|7            |773.464      |38           |50.0         |0.0          |40.0        
|7            |863.464      |38           |20.0         |0.0          |40.0        
|7            |868.464      |39           |20.0         |0.0          |45.0        
|7            |958.464      |39           |0.0          |0.0          |45.0        
|7            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|10           |0.0          |0            |140.0        |40.0         |50.0        
|10           |18.028       |47           |140.0        |30.0         |35.0        
|10           |108.028      |47           |130.0        |30.0         |35.0        
|10           |110.028      |49           |130.0        |28.0         |35.0        
|10           |200.028      |49           |120.0        |28.0         |35.0        
|10           |203.633      |50           |120.0        |26.0         |32.0        
|10           |293.633      |50           |110.0        |26.0         |32.0        
|10           |296.462      |48           |110.0        |28.0         |30.0        
|10           |386.462      |48           |100.0        |28.0         |30.0        
|10           |389.29       |46           |100.0        |30.0         |32.0        
|10           |479.29       |46           |70.0         |30.0         |32.0        
|10           |481.29       |45           |70.0         |30.0         |30.0        
|10           |571.29       |45           |60.0         |30.0         |30.0        
|10           |573.29       |44           |60.0         |32.0         |30.0        
|10           |663.29       |44           |50.0         |32.0         |30.0        
|10           |666.29       |40           |50.0         |35.0         |30.0        
|10           |756.29       |40           |40.0         |35.0         |30.0        
|10           |758.29       |41           |40.0         |35.0         |32.0        
|10           |848.29       |41           |30.0         |35.0         |32.0        
|10           |850.29       |42           |30.0         |33.0         |32.0        
|10           |940.29       |42           |10.0         |33.0         |32.0        
|10           |943.29       |43           |10.0         |33.0         |35.0        
|10           |1033.29      |43           |0.0          |33.0         |35.0        
|10           |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|20           |0.0          |0            |200.0        |40.0         |50.0        
|20           |30.806       |13           |200.0        |22.0         |75.0        
|20           |120.806      |13           |170.0        |22.0         |75.0        
|20           |124.806      |17           |170.0        |18.0         |75.0        
|20           |214.806      |17           |150.0        |18.0         |75.0        
|20           |217.806      |18           |150.0        |15.0         |75.0        
|20           |307.806      |18           |130.0        |15.0         |75.0        
|20           |312.806      |19           |130.0        |15.0         |80.0        
|20           |402.806      |19           |120.0        |15.0         |80.0        
|20           |407.806      |15           |120.0        |20.0         |80.0        
|20           |497.806      |15           |80.0         |20.0         |80.0        
|20           |502.806      |16           |80.0         |20.0         |85.0        
|20           |592.806      |16           |40.0         |20.0         |85.0        
|20           |594.806      |14           |40.0         |22.0         |85.0        
|20           |684.806      |14           |30.0         |22.0         |85.0        
|20           |687.806      |12           |30.0         |25.0         |85.0        
|20           |777.806      |12           |10.0         |25.0         |85.0        
|20           |796.674      |11           |10.0         |35.0         |69.0        
|20           |886.674      |11           |0.0          |35.0         |69.0        
|20           |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|22           |0.0          |0            |150.0        |40.0         |50.0        
|22           |16.0         |7            |150.0        |40.0         |66.0        
|22           |106.0        |7            |130.0        |40.0         |66.0        
|22           |108.236      |5            |130.0        |42.0         |65.0        
|22           |198.236      |5            |120.0        |42.0         |65.0        
|22           |199.236      |3            |120.0        |42.0         |66.0        
|22           |289.236      |3            |110.0        |42.0         |66.0        
|22           |573.554      |1            |110.0        |45.0         |68.0        
|22           |663.554      |1            |100.0        |45.0         |68.0        
|22           |665.554      |2            |100.0        |45.0         |70.0        
|22           |755.554      |2            |70.0         |45.0         |70.0        
|22           |759.159      |4            |70.0         |42.0         |68.0        
|22           |849.159      |4            |60.0         |42.0         |68.0        
|22           |851.395      |6            |60.0         |40.0         |69.0        
|22           |941.395      |6            |40.0         |40.0         |69.0        
|22           |943.631      |9            |40.0         |38.0         |70.0        
|22           |1033.631     |9            |30.0         |38.0         |70.0        
|22           |1035.631     |8            |30.0         |38.0         |68.0        
|22           |1125.631     |8            |10.0         |38.0         |68.0        
|22           |1129.237     |10           |10.0         |35.0         |66.0        
|22           |1219.237     |10           |0.0          |35.0         |66.0        
|22           |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
