C102_025
====================================================================================
customer quantity: 25
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1
time per distance: 1
====================================================================================
feasible: True
solver runtime: 890.9750001430511
objective function value: 92264.39178098112
MIP gap: 8.768898538845846e-05
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|0            |0.0          |0            |160.0        |40.0         |50.0        
|0            |16.0         |7            |160.0        |40.0         |66.0        
|0            |106.0        |7            |140.0        |40.0         |66.0        
|0            |255.0        |8            |140.0        |38.0         |68.0        
|0            |345.0        |8            |120.0        |38.0         |68.0        
|0            |357.0        |10           |120.0        |35.0         |66.0        
|0            |447.0        |10           |110.0        |35.0         |66.0        
|0            |450.0        |11           |110.0        |35.0         |69.0        
|0            |540.0        |11           |100.0        |35.0         |69.0        
|0            |543.162      |9            |100.0        |38.0         |70.0        
|0            |633.162      |9            |90.0         |38.0         |70.0        
|0            |635.398      |6            |90.0         |40.0         |69.0        
|0            |725.398      |6            |70.0         |40.0         |69.0        
|0            |727.634      |4            |70.0         |42.0         |68.0        
|0            |817.634      |4            |60.0         |42.0         |68.0        
|0            |821.24       |2            |60.0         |45.0         |70.0        
|0            |911.24       |2            |30.0         |45.0         |70.0        
|0            |913.24       |1            |30.0         |45.0         |68.0        
|0            |1003.24      |1            |20.0         |45.0         |68.0        
|0            |1006.846     |3            |20.0         |42.0         |66.0        
|0            |1096.846     |3            |10.0         |42.0         |66.0        
|0            |1097.846     |5            |10.0         |42.0         |65.0        
|0            |1187.846     |5            |0.0          |42.0         |65.0        
|0            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|16           |0.0          |0            |190.0        |40.0         |50.0        
|16           |30.806       |13           |190.0        |22.0         |75.0        
|16           |120.806      |13           |160.0        |22.0         |75.0        
|16           |124.806      |17           |160.0        |18.0         |75.0        
|16           |214.806      |17           |140.0        |18.0         |75.0        
|16           |217.806      |18           |140.0        |15.0         |75.0        
|16           |307.806      |18           |120.0        |15.0         |75.0        
|16           |312.806      |19           |120.0        |15.0         |80.0        
|16           |402.806      |19           |110.0        |15.0         |80.0        
|16           |407.806      |15           |110.0        |20.0         |80.0        
|16           |497.806      |15           |70.0         |20.0         |80.0        
|16           |502.806      |16           |70.0         |20.0         |85.0        
|16           |592.806      |16           |30.0         |20.0         |85.0        
|16           |594.806      |14           |30.0         |22.0         |85.0        
|16           |684.806      |14           |20.0         |22.0         |85.0        
|16           |687.806      |12           |20.0         |25.0         |85.0        
|16           |777.806      |12           |0.0          |25.0         |85.0        
|16           |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|17           |0.0          |0            |110.0        |40.0         |50.0        
|17           |10.0         |20           |110.0        |30.0         |50.0        
|17           |100.0        |20           |100.0        |30.0         |50.0        
|17           |105.0        |24           |100.0        |25.0         |50.0        
|17           |195.0        |24           |90.0         |25.0         |50.0        
|17           |197.0        |25           |90.0         |25.0         |52.0        
|17           |287.0        |25           |50.0         |25.0         |52.0        
|17           |732.0        |23           |50.0         |28.0         |55.0        
|17           |822.0        |23           |40.0         |28.0         |55.0        
|17           |825.0        |22           |40.0         |28.0         |52.0        
|17           |915.0        |22           |20.0         |28.0         |52.0        
|17           |917.0        |21           |20.0         |30.0         |52.0        
|17           |1007.0       |21           |0.0          |30.0         |52.0        
|17           |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
