C102_050
====================================================================================
customer quantity: 50
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1
time per distance: 1
====================================================================================
feasible: True
solver runtime: 3600.2709999084473
objective function value: 90269.1795750923
MIP gap: 0.0002983700333883531
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|0            |0.0          |0            |160.0        |40.0         |50.0        
|0            |16.0         |7            |160.0        |40.0         |66.0        
|0            |106.0        |7            |140.0        |40.0         |66.0        
|0            |263.394      |8            |140.0        |38.0         |68.0        
|0            |353.394      |8            |120.0        |38.0         |68.0        
|0            |357.0        |10           |120.0        |35.0         |66.0        
|0            |447.0        |10           |110.0        |35.0         |66.0        
|0            |450.0        |11           |110.0        |35.0         |69.0        
|0            |540.0        |11           |100.0        |35.0         |69.0        
|0            |543.162      |9            |100.0        |38.0         |70.0        
|0            |633.162      |9            |90.0         |38.0         |70.0        
|0            |635.398      |6            |90.0         |40.0         |69.0        
|0            |725.398      |6            |70.0         |40.0         |69.0        
|0            |727.634      |4            |70.0         |42.0         |68.0        
|0            |817.634      |4            |60.0         |42.0         |68.0        
|0            |821.24       |2            |60.0         |45.0         |70.0        
|0            |911.24       |2            |30.0         |45.0         |70.0        
|0            |913.24       |1            |30.0         |45.0         |68.0        
|0            |1003.24      |1            |20.0         |45.0         |68.0        
|0            |1006.846     |3            |20.0         |42.0         |66.0        
|0            |1096.846     |3            |10.0         |42.0         |66.0        
|0            |1097.846     |5            |10.0         |42.0         |65.0        
|0            |1187.846     |5            |0.0          |42.0         |65.0        
|0            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|14           |0.0          |0            |190.0        |40.0         |50.0        
|14           |30.806       |13           |190.0        |22.0         |75.0        
|14           |120.806      |13           |160.0        |22.0         |75.0        
|14           |124.806      |17           |160.0        |18.0         |75.0        
|14           |214.806      |17           |140.0        |18.0         |75.0        
|14           |217.806      |18           |140.0        |15.0         |75.0        
|14           |307.806      |18           |120.0        |15.0         |75.0        
|14           |312.806      |19           |120.0        |15.0         |80.0        
|14           |402.806      |19           |110.0        |15.0         |80.0        
|14           |429.0        |15           |110.0        |20.0         |80.0        
|14           |519.0        |15           |70.0         |20.0         |80.0        
|14           |528.0        |16           |70.0         |20.0         |85.0        
|14           |618.0        |16           |30.0         |20.0         |85.0        
|14           |620.0        |14           |30.0         |22.0         |85.0        
|14           |710.0        |14           |20.0         |22.0         |85.0        
|14           |1107.0       |12           |20.0         |25.0         |85.0        
|14           |1197.0       |12           |0.0          |25.0         |85.0        
|14           |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|15           |0.0          |0            |170.0        |40.0         |50.0        
|15           |10.0         |20           |170.0        |30.0         |50.0        
|15           |100.0        |20           |160.0        |30.0         |50.0        
|15           |105.0        |24           |160.0        |25.0         |50.0        
|15           |195.0        |24           |150.0        |25.0         |50.0        
|15           |197.0        |25           |150.0        |25.0         |52.0        
|15           |287.0        |25           |110.0        |25.0         |52.0        
|15           |289.0        |27           |110.0        |23.0         |52.0        
|15           |379.0        |27           |100.0        |23.0         |52.0        
|15           |382.606      |29           |100.0        |20.0         |50.0        
|15           |472.606      |29           |90.0         |20.0         |50.0        
|15           |477.606      |30           |90.0         |20.0         |55.0        
|15           |567.606      |30           |80.0         |20.0         |55.0        
|15           |570.606      |28           |80.0         |23.0         |55.0        
|15           |660.606      |28           |60.0         |23.0         |55.0        
|15           |662.606      |26           |60.0         |25.0         |55.0        
|15           |752.606      |26           |50.0         |25.0         |55.0        
|15           |755.606      |23           |50.0         |28.0         |55.0        
|15           |845.606      |23           |40.0         |28.0         |55.0        
|15           |871.638      |22           |40.0         |28.0         |52.0        
|15           |961.638      |22           |20.0         |28.0         |52.0        
|15           |1135.0       |21           |20.0         |30.0         |52.0        
|15           |1225.0       |21           |0.0          |30.0         |52.0        
|15           |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|21           |0.0          |0            |200.0        |40.0         |50.0        
|21           |31.623       |32           |200.0        |10.0         |40.0        
|21           |121.623      |32           |170.0        |10.0         |40.0        
|21           |123.623      |33           |170.0        |8.0          |40.0        
|21           |213.623      |33           |130.0        |8.0          |40.0        
|21           |219.008      |31           |130.0        |10.0         |35.0        
|21           |309.008      |31           |110.0        |10.0         |35.0        
|21           |314.008      |35           |110.0        |5.0          |35.0        
|21           |404.008      |35           |100.0        |5.0          |35.0        
|21           |409.839      |37           |100.0        |2.0          |40.0        
|21           |499.839      |37           |80.0         |2.0          |40.0        
|21           |501.839      |38           |80.0         |0.0          |40.0        
|21           |591.839      |38           |50.0         |0.0          |40.0        
|21           |596.839      |39           |50.0         |0.0          |45.0        
|21           |686.839      |39           |30.0         |0.0          |45.0        
|21           |714.362      |36           |30.0         |5.0          |45.0        
|21           |804.362      |36           |20.0         |5.0          |45.0        
|21           |807.362      |34           |20.0         |8.0          |45.0        
|21           |897.362      |34           |0.0          |8.0          |45.0        
|21           |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|24           |0.0          |0            |140.0        |40.0         |50.0        
|24           |16.553       |43           |140.0        |33.0         |35.0        
|24           |106.553      |43           |130.0        |33.0         |35.0        
|24           |109.553      |42           |130.0        |33.0         |32.0        
|24           |199.553      |42           |110.0        |33.0         |32.0        
|24           |201.553      |41           |110.0        |35.0         |32.0        
|24           |291.553      |41           |100.0        |35.0         |32.0        
|24           |293.553      |40           |100.0        |35.0         |30.0        
|24           |383.553      |40           |90.0         |35.0         |30.0        
|24           |386.553      |44           |90.0         |32.0         |30.0        
|24           |476.553      |44           |80.0         |32.0         |30.0        
|24           |479.381      |46           |80.0         |30.0         |32.0        
|24           |569.381      |46           |50.0         |30.0         |32.0        
|24           |571.381      |45           |50.0         |30.0         |30.0        
|24           |661.381      |45           |40.0         |30.0         |30.0        
|24           |848.566      |48           |40.0         |28.0         |30.0        
|24           |938.566      |48           |30.0         |28.0         |30.0        
|24           |941.394      |50           |30.0         |26.0         |32.0        
|24           |1031.394     |50           |20.0         |26.0         |32.0        
|24           |1035.0       |49           |20.0         |28.0         |35.0        
|24           |1125.0       |49           |10.0         |28.0         |35.0        
|24           |1127.0       |47           |10.0         |30.0         |35.0        
|24           |1217.0       |47           |0.0          |30.0         |35.0        
|24           |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
