R101_025_blended_w0.9_0.09999999999999998
====================================================================================
customer quantity: 25
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasible: True
solver runtime: 901.3769998550415
objective function value: 82711.58507619868
MIP gap: 0
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|0            |0.0          |0            |74.0         |35.0         |35.0        
|0            |25.495       |10           |74.0         |30.0         |60.0        
|0            |35.495       |10           |58.0         |30.0         |60.0        
|0            |46.675       |11           |58.0         |20.0         |65.0        
|0            |56.675       |11           |46.0         |20.0         |65.0        
|0            |57.12        |19           |46.0         |15.0         |60.0        
|0            |67.12        |19           |29.0         |15.0         |60.0        
|0            |71.675       |7            |29.0         |20.0         |50.0        
|0            |81.675       |7            |24.0         |20.0         |50.0        
|0            |87.256       |8            |24.0         |10.0         |43.0        
|0            |97.256       |8            |15.0         |10.0         |43.0        
|0            |101.07       |18           |15.0         |20.0         |40.0        
|0            |111.07       |18           |3.0          |20.0         |40.0        
|0            |115.625      |6            |3.0          |25.0         |30.0        
|0            |125.625      |6            |0.0          |25.0         |30.0        
|0            |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|2            |0.0          |0            |83.0         |35.0         |35.0        
|2            |18.028       |21           |83.0         |45.0         |20.0        
|2            |28.028       |21           |72.0         |45.0         |20.0        
|2            |38.028       |22           |72.0         |45.0         |10.0        
|2            |48.028       |22           |54.0         |45.0         |10.0        
|2            |78.0         |23           |54.0         |55.0         |5.0         
|2            |88.0         |23           |25.0         |55.0         |5.0         
|2            |106.028      |25           |25.0         |65.0         |20.0        
|2            |116.028      |25           |19.0         |65.0         |20.0        
|2            |159.0        |4            |19.0         |55.0         |20.0        
|2            |169.0        |4            |0.0          |55.0         |20.0        
|2            |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|8            |0.0          |0            |70.0         |35.0         |35.0        
|8            |15.0         |12           |70.0         |50.0         |35.0        
|8            |25.0         |12           |51.0         |50.0         |35.0        
|8            |40.0         |24           |51.0         |65.0         |35.0        
|8            |50.0         |24           |48.0         |65.0         |35.0        
|8            |64.142       |3            |48.0         |55.0         |45.0        
|8            |74.142       |3            |35.0         |55.0         |45.0        
|8            |89.142       |9            |35.0         |55.0         |60.0        
|8            |99.142       |9            |19.0         |55.0         |60.0        
|8            |136.0        |20           |19.0         |45.0         |65.0        
|8            |146.0        |20           |10.0         |45.0         |65.0        
|8            |171.0        |1            |10.0         |41.0         |49.0        
|8            |181.0        |1            |0.0          |41.0         |49.0        
|8            |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|17           |0.0          |0            |105.0        |35.0         |35.0        
|17           |20.616       |5            |105.0        |15.0         |30.0        
|17           |30.616       |5            |79.0         |15.0         |30.0        
|17           |40.616       |17           |79.0         |5.0          |30.0        
|17           |50.616       |17           |77.0         |5.0          |30.0        
|17           |61.796       |16           |77.0         |10.0         |20.0        
|17           |71.796       |16           |58.0         |10.0         |20.0        
|17           |82.976       |14           |58.0         |15.0         |10.0        
|17           |92.976       |14           |38.0         |15.0         |10.0        
|17           |108.788      |15           |38.0         |30.0         |5.0         
|17           |118.788      |15           |30.0         |30.0         |5.0         
|17           |131.788      |2            |30.0         |35.0         |17.0        
|17           |141.788      |2            |23.0         |35.0         |17.0        
|17           |151.222      |13           |23.0         |30.0         |25.0        
|17           |161.222      |13           |0.0          |30.0         |25.0        
|17           |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
