R101_025_hierarchical
====================================================================================
customer quantity: 25
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasible: True
solver runtime: 901.6730000972748
objective function value: 73239.44591156773
MIP gap: 0
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|0            |0.0          |0            |131.0        |35.0         |35.0        
|0            |15.231       |1            |131.0        |41.0         |49.0        
|0            |25.231       |1            |121.0        |41.0         |49.0        
|0            |40.787       |10           |121.0        |30.0         |60.0        
|0            |50.787       |10           |105.0        |30.0         |60.0        
|0            |54.549       |11           |105.0        |20.0         |65.0        
|0            |64.549       |11           |93.0         |20.0         |65.0        
|0            |71.62        |19           |93.0         |15.0         |60.0        
|0            |81.62        |19           |76.0         |15.0         |60.0        
|0            |92.801       |7            |76.0         |20.0         |50.0        
|0            |102.801      |7            |71.0         |20.0         |50.0        
|0            |115.007      |8            |71.0         |10.0         |43.0        
|0            |125.007      |8            |62.0         |10.0         |43.0        
|0            |138.936      |17           |62.0         |5.0          |30.0        
|0            |148.936      |17           |60.0         |5.0          |30.0        
|0            |160.116      |16           |60.0         |10.0         |20.0        
|0            |170.116      |16           |41.0         |10.0         |20.0        
|0            |181.296      |5            |41.0         |15.0         |30.0        
|0            |191.296      |5            |15.0         |15.0         |30.0        
|0            |202.477      |18           |15.0         |20.0         |40.0        
|0            |212.477      |18           |3.0          |20.0         |40.0        
|0            |216.238      |6            |3.0          |25.0         |30.0        
|0            |226.238      |6            |0.0          |25.0         |30.0        
|0            |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|1            |0.0          |0            |141.0        |35.0         |35.0        
|1            |18.0         |2            |141.0        |35.0         |17.0        
|1            |28.0         |2            |134.0        |35.0         |17.0        
|1            |40.206       |22           |134.0        |45.0         |10.0        
|1            |50.206       |22           |116.0        |45.0         |10.0        
|1            |61.387       |23           |116.0        |55.0         |5.0         
|1            |71.387       |23           |87.0         |55.0         |5.0         
|1            |89.415       |25           |87.0         |65.0         |20.0        
|1            |99.415       |25           |81.0         |65.0         |20.0        
|1            |109.415      |4            |81.0         |55.0         |20.0        
|1            |119.415      |4            |62.0         |55.0         |20.0        
|1            |129.415      |21           |62.0         |45.0         |20.0        
|1            |139.415      |21           |51.0         |45.0         |20.0        
|1            |153.209      |15           |51.0         |30.0         |5.0         
|1            |163.209      |15           |43.0         |30.0         |5.0         
|1            |185.023      |14           |43.0         |15.0         |10.0        
|1            |195.023      |14           |23.0         |15.0         |10.0        
|1            |216.237      |13           |23.0         |30.0         |25.0        
|1            |226.237      |13           |0.0          |30.0         |25.0        
|1            |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|13           |0.0          |0            |60.0         |35.0         |35.0        
|13           |15.0         |12           |60.0         |50.0         |35.0        
|13           |25.0         |12           |41.0         |50.0         |35.0        
|13           |40.0         |24           |41.0         |65.0         |35.0        
|13           |50.0         |24           |38.0         |65.0         |35.0        
|13           |86.056       |20           |38.0         |45.0         |65.0        
|13           |96.056       |20           |29.0         |45.0         |65.0        
|13           |107.236      |9            |29.0         |55.0         |60.0        
|13           |117.236      |9            |13.0         |55.0         |60.0        
|13           |132.236      |3            |13.0         |55.0         |45.0        
|13           |142.236      |3            |0.0          |55.0         |45.0        
|13           |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
