R111_025
====================================================================================
customer quantity: 25
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasible: True
solver runtime: 3568.8784279823303
objective function value: 429.69675141301667
MIP gap: 4.222214287270724e-07
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y            |premium     
------------------------------------------------------------------------------------
|6            |0.0          |0            |80.0         |35.0         |35.0         |No          
|6            |18.0         |2            |80.0         |35.0         |17.0         |No          
|6            |28.0         |2            |73.0         |35.0         |17.0         |No          
|6            |50.0         |15           |73.0         |30.0         |5.0          |No          
|6            |60.0         |15           |65.0         |30.0         |5.0          |No          
|6            |75.811       |14           |65.0         |15.0         |10.0         |No          
|6            |85.811       |14           |45.0         |15.0         |10.0         |No          
|6            |96.992       |16           |45.0         |10.0         |20.0         |No          
|6            |106.992      |16           |26.0         |10.0         |20.0         |No          
|6            |131.0        |6            |26.0         |25.0         |30.0         |No          
|6            |141.0        |6            |23.0         |25.0         |30.0         |No          
|6            |180.0        |13           |23.0         |30.0         |25.0         |No          
|6            |190.0        |13           |0.0          |30.0         |25.0         |No          
|6            |230.0        |0            |0.0          |35.0         |35.0         |No          
------------------------------------------------------------------------------------
|14           |0.0          |0            |83.0         |35.0         |35.0         |No          
|14           |15.0         |12           |83.0         |50.0         |35.0         |No          
|14           |25.0         |12           |64.0         |50.0         |35.0         |No          
|14           |54.0         |3            |64.0         |55.0         |45.0         |No          
|14           |64.0         |3            |51.0         |55.0         |45.0         |No          
|14           |88.0         |9            |51.0         |55.0         |60.0         |No          
|14           |98.0         |9            |35.0         |55.0         |60.0         |No          
|14           |109.18       |20           |35.0         |45.0         |65.0         |No          
|14           |119.18       |20           |26.0         |45.0         |65.0         |No          
|14           |150.0        |10           |26.0         |30.0         |60.0         |No          
|14           |160.0        |10           |10.0         |30.0         |60.0         |No          
|14           |204.0        |1            |10.0         |41.0         |49.0         |No          
|14           |214.0        |1            |0.0          |41.0         |49.0         |No          
|14           |230.0        |0            |0.0          |35.0         |35.0         |No          
------------------------------------------------------------------------------------
|23           |0.0          |0            |83.0         |35.0         |35.0         |No          
|23           |21.213       |7            |83.0         |20.0         |50.0         |No          
|23           |31.213       |7            |78.0         |20.0         |50.0         |No          
|23           |57.0         |11           |78.0         |20.0         |65.0         |No          
|23           |67.0         |11           |66.0         |20.0         |65.0         |No          
|23           |74.071       |19           |66.0         |15.0         |60.0         |No          
|23           |84.071       |19           |49.0         |15.0         |60.0         |No          
|23           |101.791      |8            |49.0         |10.0         |43.0         |No          
|23           |111.791      |8            |40.0         |10.0         |43.0         |No          
|23           |136.0        |18           |40.0         |20.0         |40.0         |No          
|23           |146.0        |18           |28.0         |20.0         |40.0         |No          
|23           |179.0        |17           |28.0         |5.0          |30.0         |No          
|23           |189.0        |17           |26.0         |5.0          |30.0         |No          
|23           |199.0        |5            |26.0         |15.0         |30.0         |No          
|23           |209.0        |5            |0.0          |15.0         |30.0         |No          
|23           |230.0        |0            |0.0          |35.0         |35.0         |No          
------------------------------------------------------------------------------------
|24           |0.0          |0            |86.0         |35.0         |35.0         |No          
|24           |18.028       |21           |86.0         |45.0         |20.0         |No          
|24           |28.028       |21           |75.0         |45.0         |20.0         |No          
|24           |58.0         |23           |75.0         |55.0         |5.0          |No          
|24           |68.0         |23           |46.0         |55.0         |5.0          |No          
|24           |79.18        |22           |46.0         |45.0         |10.0         |No          
|24           |89.18        |22           |28.0         |45.0         |10.0         |No          
|24           |145.0        |4            |28.0         |55.0         |20.0         |No          
|24           |155.0        |4            |9.0          |55.0         |20.0         |No          
|24           |165.0        |25           |9.0          |65.0         |20.0         |No          
|24           |175.0        |25           |3.0          |65.0         |20.0         |No          
|24           |190.0        |24           |3.0          |65.0         |35.0         |No          
|24           |200.0        |24           |0.0          |65.0         |35.0         |No          
|24           |230.0        |0            |0.0          |35.0         |35.0         |No          
------------------------------------------------------------------------------------
