R206_050
====================================================================================
customer quantity: 50
vehicle quantity: 25
vehicle capacity: 1000.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasible: True
solver runtime: 3600.0488381385803
objective function value: 651.1681150951165
MIP gap: 0.19659292582233945
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y            |premium     
------------------------------------------------------------------------------------
|3            |0.0          |0            |131.0        |35.0         |35.0         |No          
|3            |18.0         |2            |131.0        |35.0         |17.0         |No          
|3            |28.0         |2            |124.0        |35.0         |17.0         |No          
|3            |118.0        |15           |124.0        |30.0         |5.0          |No          
|3            |128.0        |15           |116.0        |30.0         |5.0          |No          
|3            |137.22       |42           |116.0        |24.0         |12.0         |No          
|3            |147.22       |42           |111.0        |24.0         |12.0         |No          
|3            |156.164      |37           |111.0        |20.0         |20.0         |No          
|3            |166.164      |37           |103.0        |20.0         |20.0         |No          
|3            |203.0        |16           |103.0        |10.0         |20.0         |No          
|3            |213.0        |16           |84.0         |10.0         |20.0         |No          
|3            |219.083      |44           |84.0         |11.0         |14.0         |No          
|3            |229.083      |44           |66.0         |11.0         |14.0         |No          
|3            |239.899      |38           |66.0         |5.0          |5.0          |No          
|3            |249.899      |38           |50.0         |5.0          |5.0          |No          
|3            |261.08       |14           |50.0         |15.0         |10.0         |No          
|3            |271.08       |14           |30.0         |15.0         |10.0         |No          
|3            |543.0        |43           |30.0         |23.0         |3.0          |No          
|3            |553.0        |43           |23.0         |23.0         |3.0          |No          
|3            |879.0        |13           |23.0         |30.0         |25.0         |No          
|3            |889.0        |13           |0.0          |30.0         |25.0         |No          
|3            |1000.0       |0            |0.0          |35.0         |35.0         |No          
------------------------------------------------------------------------------------
|8            |0.0          |0            |167.0        |35.0         |35.0         |No          
|8            |239.569      |26           |167.0        |45.0         |30.0         |No          
|8            |249.569      |26           |150.0        |45.0         |30.0         |No          
|8            |273.0        |39           |150.0        |60.0         |12.0         |No          
|8            |283.0        |39           |119.0        |60.0         |12.0         |No          
|8            |310.82       |23           |119.0        |55.0         |5.0          |No          
|8            |320.82       |23           |90.0         |55.0         |5.0          |No          
|8            |334.0        |41           |90.0         |42.0         |7.0          |No          
