RC101_blended_w0.8_0.19999999999999996
====================================================================================
customer quantity: 25
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasible: True
solver runtime: 600.9159998893738
objective function value: 82214.16510945001
MIP gap: 0
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|5            |0.0          |0            |190.0        |40.0         |50.0        
|5            |32.388       |12           |190.0        |8.0          |45.0        
|5            |42.388       |12           |170.0        |8.0          |45.0        
|5            |42.56        |14           |170.0        |5.0          |45.0        
|5            |52.56        |14           |160.0        |5.0          |45.0        
|5            |54.608       |17           |160.0        |0.0          |45.0        
|5            |64.608       |17           |140.0        |0.0          |45.0        
|5            |65.243       |16           |140.0        |0.0          |40.0        
|5            |75.243       |16           |120.0        |0.0          |40.0        
|5            |75.828       |15           |120.0        |2.0          |40.0        
|5            |85.828       |15           |100.0        |2.0          |40.0        
|5            |90.414       |11           |100.0        |8.0          |40.0        
|5            |100.414      |11           |60.0         |8.0          |40.0        
|5            |106.0        |13           |60.0         |5.0          |35.0        
|5            |116.0        |13           |50.0         |5.0          |35.0        
|5            |121.0        |9            |50.0         |10.0         |35.0        
|5            |131.0        |9            |30.0         |10.0         |35.0        
|5            |134.586      |10           |30.0         |10.0         |40.0        
|5            |144.586      |10           |0.0          |10.0         |40.0        
|5            |240.0        |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|12           |0.0          |0            |180.0        |40.0         |50.0        
|12           |40.05        |19           |180.0        |42.0         |10.0        
|12           |50.05        |19           |140.0        |42.0         |10.0        
|12           |54.021       |18           |140.0        |44.0         |5.0         
|12           |64.021       |18           |120.0        |44.0         |5.0         
|12           |66.607       |21           |120.0        |40.0         |5.0         
|12           |76.607       |21           |110.0        |40.0         |5.0         
|12           |78.607       |23           |110.0        |38.0         |5.0         
|12           |88.607       |23           |80.0         |38.0         |5.0         
|12           |92.388       |25           |80.0         |35.0         |5.0         
|12           |102.388      |25           |60.0         |35.0         |5.0         
|12           |112.828      |24           |60.0         |38.0         |15.0        
|12           |122.828      |24           |50.0         |38.0         |15.0        
|12           |123.414      |22           |50.0         |40.0         |15.0        
|12           |133.414      |22           |10.0         |40.0         |15.0        
|12           |134.0        |20           |10.0         |42.0         |15.0        
|12           |144.0        |20           |0.0          |42.0         |15.0        
|12           |240.0        |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|14           |0.0          |0            |170.0        |40.0         |50.0        
|14           |30.806       |2            |170.0        |22.0         |75.0        
|14           |40.806       |2            |140.0        |22.0         |75.0        
|14           |39.026       |6            |140.0        |18.0         |75.0        
|14           |49.026       |6            |120.0        |18.0         |75.0        
|14           |47.66        |7            |120.0        |15.0         |75.0        
|14           |57.66        |7            |100.0        |15.0         |75.0        
|14           |58.295       |8            |100.0        |15.0         |80.0        
|14           |68.295       |8            |90.0         |15.0         |80.0        
|14           |71.0         |5            |90.0         |20.0         |85.0        
|14           |81.0         |5            |70.0         |20.0         |85.0        
|14           |83.0         |3            |70.0         |22.0         |85.0        
|14           |93.0         |3            |60.0         |22.0         |85.0        
|14           |96.0         |1            |60.0         |25.0         |85.0        
|14           |106.0        |1            |40.0         |25.0         |85.0        
|14           |110.242      |4            |40.0         |20.0         |80.0        
|14           |120.242      |4            |0.0          |20.0         |80.0        
|14           |240.0        |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
