RC101_hierarchical
====================================================================================
customer quantity: 25
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasible: True
solver runtime: 601.0729999542236
objective function value: 79922.6142468374
MIP gap: 0
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|6            |0.0          |0            |170.0        |40.0         |50.0        
|6            |30.806       |2            |170.0        |22.0         |75.0        
|6            |40.806       |2            |140.0        |22.0         |75.0        
|6            |44.806       |6            |140.0        |18.0         |75.0        
|6            |54.806       |6            |120.0        |18.0         |75.0        
|6            |57.806       |7            |120.0        |15.0         |75.0        
|6            |67.806       |7            |100.0        |15.0         |75.0        
|6            |72.806       |8            |100.0        |15.0         |80.0        
|6            |82.806       |8            |90.0         |15.0         |80.0        
|6            |87.806       |4            |90.0         |20.0         |80.0        
|6            |97.806       |4            |50.0         |20.0         |80.0        
|6            |102.806      |5            |50.0         |20.0         |85.0        
|6            |112.806      |5            |30.0         |20.0         |85.0        
|6            |114.806      |3            |30.0         |22.0         |85.0        
|6            |124.806      |3            |20.0         |22.0         |85.0        
|6            |127.806      |1            |20.0         |25.0         |85.0        
|6            |137.806      |1            |0.0          |25.0         |85.0        
|6            |240.0        |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|22           |0.0          |0            |190.0        |40.0         |50.0        
|22           |33.541       |9            |190.0        |10.0         |35.0        
|22           |43.541       |9            |170.0        |10.0         |35.0        
|22           |76.372       |13           |170.0        |5.0          |35.0        
|22           |86.372       |13           |160.0        |5.0          |35.0        
|22           |92.203       |15           |160.0        |2.0          |40.0        
|22           |102.203      |15           |140.0        |2.0          |40.0        
|22           |104.203      |16           |140.0        |0.0          |40.0        
|22           |114.203      |16           |120.0        |0.0          |40.0        
|22           |119.203      |17           |120.0        |0.0          |45.0        
|22           |129.203      |17           |100.0        |0.0          |45.0        
|22           |134.203      |14           |100.0        |5.0          |45.0        
|22           |144.203      |14           |90.0         |5.0          |45.0        
|22           |147.203      |12           |90.0         |8.0          |45.0        
|22           |157.203      |12           |70.0         |8.0          |45.0        
|22           |186.377      |11           |70.0         |8.0          |40.0        
|22           |196.377      |11           |30.0         |8.0          |40.0        
|22           |198.377      |10           |30.0         |10.0         |40.0        
|22           |208.377      |10           |0.0          |10.0         |40.0        
|22           |240.0        |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|24           |0.0          |0            |180.0        |40.0         |50.0        
|24           |35.0         |22           |180.0        |40.0         |15.0        
|24           |45.0         |22           |140.0        |40.0         |15.0        
|24           |47.0         |24           |140.0        |38.0         |15.0        
|24           |57.0         |24           |130.0        |38.0         |15.0        
|24           |67.44        |25           |130.0        |35.0         |5.0         
|24           |77.44        |25           |110.0        |35.0         |5.0         
|24           |80.44        |23           |110.0        |38.0         |5.0         
|24           |90.44        |23           |80.0         |38.0         |5.0         
|24           |92.44        |21           |80.0         |40.0         |5.0         
|24           |102.44       |21           |70.0         |40.0         |5.0         
|24           |164.558      |18           |70.0         |44.0         |5.0         
|24           |174.558      |18           |50.0         |44.0         |5.0         
|24           |179.943      |19           |50.0         |42.0         |10.0        
|24           |189.943      |19           |10.0         |42.0         |10.0        
|24           |194.943      |20           |10.0         |42.0         |15.0        
|24           |204.943      |20           |0.0          |42.0         |15.0        
|24           |240.0        |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
